1	1	169	0	255	10000	-1	0
2	2	59	0	255	-60	0	0
3	3	11	0	255	150	0	0
4	4	180	0	255	50	0	0
5	5	378	0	255	85	0	0
6	6	158	0	255	50	0	0
7	7	157	0	255	-300	0	0
8	8	168	0	255	-50	0	0
9	9	172	0	255	10000	0	0
10	10	173	0	255	10000	0	0
11	11	174	0	255	10000	0	0
12	12	175	0	255	10000	0	0
13	13	197	0	255	-80	3	0
14	14	197	0	255	80	1	0
15	15	188	0	255	10000	0	0
16	16	178	0	255	90	0	0
17	17	184	0	255	10000	-1	0
18	18	185	0	255	100	1	0
19	19	301	0	255	100	0	0
20	20	279	0	255	50	0	0
21	21	220	0	255	2000	1	0
22	22	40	0	255	1	0	0
23	23	360	0	255	100	13	0
24	24	274	0	255	90	0	0
25	25	294	0	255	100	200	0
26	26	120	0	255	50	0	0
27	27	382	0	255	0	55	0
28	28	296	0	255	1000	-1	0
29	29	296	0	255	-50	2	0
30	30	3	0	255	60	0	0
