1	4	-100	r5
2	4	-100	r6
3	4	-100	r9
4	4	-500	r10
5	4	500	r11
6	4	-500	r14
7	4	-200	r42
8	4	-500	r75
9	4	600	r128
10	4	-100	r130
11	4	-500	r367
12	5	-100	r5
13	5	-100	r6
14	5	-100	r9
15	5	-500	r10
16	5	500	r11
17	5	-500	r14
18	5	-200	r42
19	5	-500	r75
20	5	600	r128
21	5	-100	r130
22	5	-500	r367
23	9	-100	c5
24	9	-100	c11
25	9	-350	r6
26	9	-500	r9
27	9	-500	r10
28	9	-1000	r14
29	9	-750	r128
30	9	-1000	r161
31	9	-1000	r367
32	9	-150	d201
33	9	-150	d203
34	9	-150	d206
35	9	50	d207
36	9	50	d215
37	11	-500	c5
38	11	-50	c9
39	11	-750	c11
40	11	500	c12
41	11	500	c13
42	11	500	c14
43	11	-150	r6
44	11	-500	r9
45	11	-500	r10
46	11	-1500	r14
47	11	-250	r42
48	11	-250	r75
49	11	-250	r108
50	11	-750	r128
51	11	-1500	r161
52	11	-1500	r367
53	11	-1000	d201
54	11	-500	d203
55	11	250	d204
56	11	50	d206
57	11	-500	d207
58	11	250	d208
59	11	250	d210
60	11	-50	d211
61	11	250	d212
62	11	250	d215
63	11	-50	d216
64	12	101	c7
65	12	-102	r128
66	14	-150	r6
67	14	-500	r9
68	14	-500	r10
69	14	-1000	r14
70	14	-250	r75
71	14	-250	r108
72	14	-50	r128
73	14	-1000	r161
74	14	-1000	r367
75	17	-250	c3
76	17	750	c5
77	17	750	c11
78	17	150	d201
79	17	200	d203
80	17	200	d207
81	21	200	c5
82	21	200	c11
83	21	-1000	r14
84	21	-500	r42
85	21	-500	r128
86	21	-100	r130
87	21	300	d201
88	21	-500	d202
89	21	150	d203
90	21	-1000	d204
91	21	-500	d205
92	21	125	d207
93	21	-1000	d208
94	21	-500	d209
95	21	-1000	d210
96	21	-500	d211
97	21	-1000	d212
98	21	-250	d213
99	21	-500	d214
100	21	-1000	d215
101	21	-250	d216
102	23	-500	r14
103	23	-500	r42
104	23	-500	r75
105	23	-500	r108
106	23	-1000	r128
107	23	-500	r161
108	23	-500	r367
109	24	700	r128
110	26	75	c4
111	26	100	c6
112	26	500	r42
113	28	-500	r11
114	28	-500	r12
115	28	-500	r14
116	28	-1000	r128
117	30	700	r128
118	33	400	c9
119	33	-500	d201
120	33	-500	d203
121	33	-500	d207
122	35	-700	r6
123	35	-700	r9
124	35	-700	r10
125	35	-700	r128
126	36	100	c3
127	36	25	c4
128	36	-50	c5
129	36	25	c6
130	36	25	c8
131	36	-20	c9
132	36	-100	c11
133	36	1500	r1
134	36	250	r2
135	36	250	r3
136	36	250	r4
137	36	200	r5
138	36	-100	r6
139	36	1500	r7
140	36	100	r8
141	36	-200	r9
142	36	-100	r10
143	36	300	r11
144	36	100	r12
145	36	-200	r128
146	36	50	r130
147	36	-1000	d206
148	36	100	d208
149	36	100	d212
150	40	-250	r3
151	40	-250	r4
152	40	-250	r5
153	40	-100	r6
154	40	-100	r7
155	40	-100	r9
156	40	-100	r10
157	40	-350	r11
158	40	-750	r12
159	40	-1000	r14
160	40	-100	r128
161	40	-350	r130
162	41	-500	r8
163	41	-500	r11
164	41	-500	r14
165	41	-500	r42
166	41	-500	r75
167	41	-500	r108
168	41	-500	r161
169	41	-500	r367
170	42	-150	r9
171	42	-150	r10
172	42	-1000	r14
173	42	-250	r42
174	42	-500	r75
175	42	-250	r108
176	42	-1000	r161
177	42	-1000	r367
178	42	-250	d201
179	42	-50	d202
180	42	-250	d203
181	42	-250	d207
182	42	-500	d211
183	42	-50	d214
184	42	750	d216
185	43	50	c2
186	43	50	c3
187	43	99	r1
188	43	99	r2
189	43	101	r4
190	43	199	r5
191	43	-900	r6
192	43	101	r7
193	43	99	r8
194	43	-600	r9
195	43	-600	r10
196	43	99	r11
197	43	99	r12
198	43	-1500	r14
199	43	-50	r42
200	43	-250	r75
201	43	-150	r108
202	43	-300	r128
203	43	99	r130
204	43	-1500	r161
205	43	-1500	r367
206	43	-600	d201
207	43	-600	d203
208	43	-600	d206
209	43	1	d208
210	43	-1	d209
211	43	-1	d212
212	44	100	c2
213	44	100	c3
214	44	-150	c5
215	44	-250	c11
216	44	50	r4
217	44	50	r5
218	44	-250	r6
219	44	50	r7
220	44	500	r8
221	44	-500	r9
222	44	-750	r10
223	44	150	r11
224	44	250	r12
225	44	-1500	r14
226	44	-250	r42
227	44	-500	r75
228	44	-250	r108
229	44	-400	r128
230	44	-1500	r161
231	44	-1500	r367
232	44	-500	d201
233	44	750	d202
234	44	-500	d203
235	44	50	d204
236	44	150	d205
237	44	50	d206
238	44	-500	d207
239	44	50	d208
240	44	50	d210
241	44	-250	d211
242	44	50	d212
243	44	50	d215
244	47	-700	c9
245	47	-700	r6
246	47	-700	r9
247	47	-700	r10
248	47	-700	r128
249	47	-50	d214
250	48	-700	c9
251	48	-700	r6
252	48	-700	r9
253	48	-700	r10
254	48	-700	r128
255	48	-50	d214
256	49	-100	c5
257	49	-100	c11
258	49	-250	r9
259	49	-250	r10
260	49	-1000	r14
261	49	-1000	r75
262	49	-1000	r161
263	49	-1000	r367
264	49	-350	d203
265	49	-350	d211
266	51	100	c3
267	51	25	c4
268	51	-50	c5
269	51	25	c6
270	51	25	c8
271	51	-20	c9
272	51	-100	c11
273	51	1000	r1
274	51	150	r2
275	51	100	r3
276	51	250	r4
277	51	200	r5
278	51	-100	r6
279	51	1000	r7
280	51	100	r8
281	51	-200	r9
282	51	-100	r10
283	51	300	r11
284	51	100	r12
285	51	-1000	r14
286	51	-250	r42
287	51	-500	r75
288	51	-500	r108
289	51	-200	r128
290	51	50	r130
291	51	-1000	r161
292	51	-1000	r367
293	51	-500	d201
294	51	-500	d203
295	51	100	d204
296	51	50	d206
297	51	-500	d207
298	51	100	d208
299	51	100	d212
305	53	-250	r6
306	53	-100	r7
307	53	-50	r8
308	53	-50	r9
309	53	-150	r10
310	53	50	r11
311	53	50	r12
312	53	-250	r14
313	53	-250	r42
314	53	-750	r75
315	53	-250	r108
316	53	-500	r128
317	53	50	r130
318	53	-1500	r161
319	53	-250	r367
320	57	250	c1
321	57	-100	c3
322	57	-50	c4
323	57	-150	c5
324	57	-50	c6
325	57	50	c10
326	57	25	c15
327	57	-350	r1
