1	6	51735	1	85
2	7	51736	1	85
3	8	51737	1	85
4	9	51738	1	85
5	10	51739	1	85
6	6	51740	1	85
7	7	51741	1	85
8	8	51742	1	85
9	9	51743	1	85
10	10	51744	1	85
11	6	51745	1	85
12	7	51746	1	85
13	8	51747	1	85
14	9	51748	1	85
15	10	51749	1	85
16	6	51750	1	85
17	7	51751	1	85
18	8	51752	1	85
19	9	51753	1	85
20	10	51754	1	85
21	16	51735	1	85
22	17	51736	1	85
23	18	51737	1	85
24	19	51738	1	85
25	20	51739	1	85
26	10	51739	1	85
27	16	51740	1	85
28	17	51741	1	85
29	18	51742	1	85
30	19	51743	1	85
31	20	51744	1	85
32	16	51745	1	85
33	17	51746	1	85
34	18	51747	1	85
35	19	51748	1	85
36	20	51749	1	85
37	16	51750	1	85
38	17	51751	1	85
39	18	51752	1	85
40	19	51753	1	85
41	20	51754	1	85
