1027	Xantomo_Salmor	0	0	0	175	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1028	#D`mitrious_Irska	0	0	0	10	50	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1031	an_investigator	0	0	0	129	83	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1135	#Translocator_Sedina	0	0	0	50	140	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2030	Tomer_Instogle	0	0	0	0	0	0	0	0	0	0	0	0	46	0	206	0	0	0	0	0	0	0	0	0	0	0	0
2041	Rineval_Talyas	0	0	0	10	50	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4032	Neclo_Rheslar	0	0	0	70	50	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9013	Driana_Poxsbourne	0	0	0	40	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9027	Ran`un	0	0	0	0	0	0	0	0	0	0	0	0	0	127	16	0	0	0	0	0	0	0	0	0	0	0	0
9079	Tyrsa_Henic	0	0	0	115	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9148	Revesa_Temosa	0	0	0	115	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10130	Jheron_Felkis	0	0	0	115	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12076	Maligar	0	0	0	120	0	20	0	127	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14050	an_interrogator	0	0	0	129	83	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19044	Kaya_Cloudfoot	115	135	250	115	135	250	115	135	250	115	135	250	0	0	0	115	135	250	0	0	0	0	0	0	0	0	0
19045	Megosh_Thistlethorn	80	115	52	80	115	52	80	115	52	80	115	52	0	0	0	80	115	52	0	0	0	0	0	0	0	0	0
19052	Reebo_Leafsway	100	145	80	100	145	80	100	145	80	100	145	80	0	0	0	100	145	80	0	0	0	0	0	0	0	0	0
19053	Uner_Gnarltrunk	0	0	0	100	145	80	100	145	80	100	145	80	0	0	0	100	145	80	0	0	0	0	0	0	0	0	0
19054	Hibbs_Rootenpaw	100	145	80	100	145	80	100	145	80	100	145	80	100	145	80	100	145	80	0	0	0	0	0	0	0	0	0
19055	Marshal_Anrey	175	128	60	175	128	60	175	128	60	175	128	60	175	128	60	175	128	60	0	0	0	0	0	0	0	0	0
19056	Marshal_Ghobber	0	0	0	175	128	60	175	128	60	175	128	60	175	128	60	175	128	60	0	0	0	0	0	0	0	0	0
19057	Marshal_Lanena	0	0	0	175	128	60	175	128	60	175	128	60	175	128	60	175	128	60	0	0	0	0	0	0	0	0	0
19058	Sheriff_Roglio	175	128	60	175	128	60	175	128	60	175	128	60	175	128	60	175	128	60	0	0	0	0	0	0	0	0	0
19059	Toelia_Snuckery	0	0	0	80	92	85	80	92	85	80	92	85	80	92	85	80	92	85	0	0	0	0	0	0	0	0	0
19060	Rueppy_Kutpurse	80	92	85	80	92	85	80	92	85	80	92	85	0	0	0	80	92	85	0	0	0	0	0	0	0	0	0
19061	Hebber_Druneny	0	0	0	80	92	85	80	92	85	80	92	85	0	0	0	80	92	85	0	0	0	0	0	0	0	0	0
19062	Lendel_Deeppockets	0	0	0	80	92	85	80	92	85	80	92	85	80	92	85	80	92	85	0	0	0	0	0	0	0	0	0
