1	Warrior	1	1	1	1	66	66	66	1	66	1	6	66	66	66	66	1	35	66	66	6	15	66	15	66	66	66	66	66	1	66	1	66	66	1	10	66	1	25	66	66	1	66	66	66	66	66	66	66	66	66	1	1	66	1	66	1	66	66	66	66	1	1	66	1	1	1	1	1	1	1	66	66	66	1
2	Cleric	1	66	1	66	1	1	66	66	66	1	25	66	66	4	1	1	66	66	1	15	66	66	66	66	1	66	66	66	1	66	66	8	66	1	66	66	66	66	66	66	1	66	66	66	66	66	66	66	66	66	1	66	66	1	66	1	66	66	66	66	1	1	66	1	1	1	1	1	1	1	66	66	66	66
3	Paladin	1	1	1	1	9	9	66	1	66	1	6	66	66	9	9	1	40	66	9	10	20	66	66	66	9	66	66	66	1	66	66	12	66	1	17	66	1	30	66	66	1	66	66	66	66	66	66	66	66	66	1	66	66	1	66	1	66	66	66	66	1	1	66	1	1	1	1	1	1	1	66	66	66	1
4	Ranger	1	1	1	1	9	9	66	1	66	1	66	66	66	9	9	1	35	66	9	8	20	66	17	66	9	66	66	66	1	66	5	12	66	1	18	66	1	35	66	66	1	66	66	66	66	66	66	66	66	66	1	1	66	1	66	1	66	66	66	66	1	1	66	1	1	1	1	1	1	1	66	66	66	1
5	Shadowknight	1	1	1	1	9	9	66	1	66	1	6	66	66	9	9	1	40	66	9	10	20	66	66	66	9	66	66	66	1	66	66	12	66	1	17	66	1	30	66	66	1	66	66	66	66	66	66	66	66	66	1	66	66	1	66	1	66	66	66	66	1	1	66	1	1	1	1	1	1	1	66	66	66	1
6	Druid	1	1	1	66	1	1	66	66	66	1	66	66	66	4	1	1	66	66	1	15	66	66	66	66	1	66	66	66	66	66	66	8	66	1	66	66	66	66	66	66	1	66	66	66	66	66	66	66	66	66	1	66	66	1	66	1	66	66	66	66	1	1	66	1	1	1	1	1	1	1	66	66	66	66
7	Monk	1	66	1	66	66	66	66	66	66	1	66	12	66	66	66	1	27	66	66	1	15	25	1	20	66	17	30	66	1	66	1	66	1	1	66	66	66	35	5	66	1	66	66	66	66	66	66	66	66	66	1	1	10	1	66	1	66	66	66	66	1	1	66	1	1	1	1	1	1	1	66	66	66	66
8	Bard	1	1	66	66	66	66	66	66	66	1	66	66	11	66	66	1	66	66	66	10	66	66	17	66	66	66	66	1	1	66	66	10	66	1	53	66	1	58	66	66	1	1	66	66	66	66	66	66	66	8	1	1	66	1	14	1	66	66	66	66	1	1	66	1	1	1	1	1	1	1	5	66	66	66
9	Rogue	1	1	1	1	66	66	18	1	10	1	66	66	66	66	66	1	27	66	66	4	16	66	15	66	66	66	66	66	1	66	66	66	66	1	12	66	1	30	66	66	1	66	66	66	66	66	66	66	7	66	1	1	66	1	66	1	20	66	66	66	1	1	66	1	1	1	1	1	1	1	66	66	66	66
10	Shaman	1	66	1	66	1	1	66	66	66	1	66	66	66	4	1	1	66	66	1	15	66	66	66	66	1	66	66	66	66	66	66	8	66	1	66	66	1	66	66	66	1	66	66	66	66	66	66	66	66	66	1	66	66	1	66	1	66	66	66	25	1	1	66	1	1	1	1	1	1	1	66	66	66	66
11	Necromancer	66	66	66	66	1	1	66	66	66	1	66	66	66	1	1	1	66	66	1	22	66	66	66	66	1	66	66	66	66	66	66	4	66	1	66	66	66	66	66	66	1	66	66	1	1	1	1	1	66	66	1	1	66	1	66	1	66	66	16	66	1	1	66	1	1	1	1	1	1	1	66	66	66	66
12	Wizard	66	66	66	66	1	1	66	66	66	1	66	66	66	1	1	1	66	66	1	22	66	66	66	66	1	66	66	66	66	66	66	4	66	1	66	66	66	66	66	66	1	66	66	1	1	1	1	1	66	66	1	1	66	1	66	1	66	66	16	66	1	1	66	1	1	1	1	1	1	1	66	66	66	66
13	Magician	66	66	66	66	1	1	66	66	66	1	66	66	66	1	1	1	66	66	1	22	66	66	66	66	1	66	66	66	66	66	66	4	66	1	66	66	66	66	66	66	1	66	66	1	1	1	1	1	66	66	1	1	66	1	66	1	66	66	16	66	1	1	66	1	1	1	1	1	1	1	66	66	66	66
14	Enchanter	66	66	66	66	1	1	66	66	66	1	66	66	66	1	1	1	66	66	1	22	66	66	66	66	1	66	66	66	66	66	66	4	66	1	66	66	66	66	66	66	1	66	66	1	1	1	1	1	66	66	1	1	66	1	66	1	66	66	16	66	1	1	66	1	1	1	1	1	1	1	66	66	66	66
15	Beastlord	1	66	1	66	9	9	66	66	66	1	66	25	66	9	9	1	66	66	9	10	66	66	17	66	9	66	66	66	1	66	5	12	66	1	66	66	1	40	66	66	1	66	66	66	66	66	66	66	66	66	1	1	66	1	66	1	66	66	66	66	1	1	66	1	1	1	1	1	1	1	66	66	66	66
