1	qeynos	0	1	464	-442	1.5	0	-151	-5	1.5	0	0	2	0	0	4294967295
3	qeynos	0	2	586	-80	1.5	0	-26	356	1.5	0	0	2	0	0	4294967295
7	qeynos2	0	9	1272	73	2.5	0	-220	999999	4	2.6	0	4	0	0	4294967295
10	feerrott	0	5	-2380	2601	26	0	-813.26	1020.95	105	231	0	72	0	0	4294967295
11	feerrott	0	77	0	0	0	0	-901.31	444.21	-152.87	231	0	202	0	0	4294967295
13	acrylia	0	1	30	-663	4	0	871.87	1944.74	-268	195	0	167	0	0	4294967295
14	commons	0	0	0	0	0	0	0	0	-32	128	0	152	0	0	4294967295
17	qey2hh1	0	2	999999	3242	0	0	999999	3194	4	231	0	13	0	0	4294967295
18	northkarana	0	1	999999	3270	-1.4	0	999999	-15844	0	64	0	12	0	0	4294967295
19	northkarana	0	2	999999	1066	-3.35	0	13	990	-34	192	0	15	0	0	4294967295
20	eastkarana	0	1	8.27	1140	-34	0	14.14	-3080	-34	64	0	13	0	0	4294967295
21	northkarana	0	3	-4510	999999	-30	0	2700	895	-30.03	128	0	14	0	0	4294967295
23	eastkarana	0	2	3602	-2074	11.22	0	-1187	-443	32	32	0	16	0	0	4294967295
24	beholder	0	1	-1184.86	-452.33	37.5	0	3371	-2284	51	130	0	15	0	0	4294967295
25	eastkarana	0	3	-3088	-8339	693	0	835	109	3.13	128	0	5	0	0	3
27	southkarana	0	2	-3143	931	-9	0	-79.3	-7.9	4	231	0	18	0	0	4294967295
31	beholder	0	2	907	-1846	4.75	0	-116.69	-23.31	4	0	0	11	0	0	4294967295
38	highkeep	0	1	63	105	3.75	0	63	-105	3.75	128	0	5	0	0	3
40	commons	0	1	900	4180	-48	0	1464.44	-1088.05	-48	132	0	20	0	0	4294967295
41	kithicor	0	3	1464	-1089	-48	0	904.3	4216	-48.97	231	0	21	0	0	4294967295
45	commons	0	2	999999	-1621	999999	0	999999	5045	999999	194	0	22	0	0	4294967295
47	commons	0	3	-1146	597	-39	0	-75.27	35.22	3.13	191	0	36	0	0	4294967295
49	ecommons	0	2	515	5050	-42	0	10.3	-1475	-51	65	0	21	0	0	4294967295
51	ecommons	0	3	9	-1600	-51	0	-28	775	-24	191	0	9	0	0	4294967295
53	ecommons	0	4	1553	641	-18	0	-2679.36	-514.8	-19.34	50	0	25	0	0	3
