129	249
191	248
256	249
273	249
332	248
356	249
364	247
378	248
411	248
412	248
432	249
479	248
515	249
516	249
517	249
518	249
519	249
598	248
680	248
712	248
713	246
715	245
716	245
771	247
847	248
927	248
930	245
932	249
953	246
1069	247
1143	249
1249	249
1251	248
1331	248
1350	247
1357	248
1367	248
1419	248
1462	249
1558	249
1560	249
1561	249
1667	248
1668	248
1669	248
1727	249
1760	248
1795	246
1910	248
1911	245
1912	246
1913	244
1963	247
1975	249
2018	248
2067	247
2125	249
2166	247
2197	246
2316	248
2551	248
2580	245
2593	249
2595	249
2600	249
2673	248
2773	247
2795	248
2796	248
2797	248
2831	249
2926	245
2976	248
3006	248
3039	249
3056	248
3065	248
3198	248
3255	249
3256	249
3257	249
3277	249
3278	249
3279	249
3295	249
3368	249
3374	247
3419	247
3448	249
3450	249
3486	248
3490	245
3581	248
3608	247
3609	247
3741	248
3743	247
3745	248
3766	245
3858	249
3859	249
3860	249
3871	245
3879	248
3916	247
4115	248
4219	247
4220	247
4221	247
4222	247
4223	247
4224	247
4225	247
4226	247
4227	247
4228	247
4289	246
4441	247
4473	248
4560	248
4561	248
4663	249
4703	248
4715	248
4731	248
4740	249
4744	247
4745	247
4746	247
4848	245
4871	247
4999	248
5098	246
5099	246
5171	248
5302	249
5305	249
5307	249
5317	249
5339	248
5358	249
5362	249
5365	249
5376	247
5466	248
5488	248
5492	248
5698	249
5705	248
5802	249
5810	248
5811	248
5817	248
5881	249
5882	249
5883	249
5997	248
6006	246
6145	248
6154	249
6160	249
6373	247
6558	246
6581	248
6643	245
6650	247
6769	247
6833	249
6887	245
7082	247
7129	247
7589	248
7590	248
7591	248
7592	248
7593	248
7594	248
7595	248
7596	248
7597	248
7598	248
7702	247
7715	247
7747	249
8189	247
8190	249
8191	249
8192	249
8246	247
