9	8	Tox	0	POKTELE500	2324.96	-582.532	-47.8143	120	58	0	0	0	0	0	0	0	0	0	poknowledge	0	35.9378	630	-145	128	0	0	100	0	4294967295	0
10	132	PoKnowledge	0	VTCHAIR302	846.144	664.317	-163.999	104	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	100	0	4294967295	0
11	133	PoKnowledge	0	POPCRATE501	844.073	623.046	-163.999	384	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	100	0	4294967295	0
12	134	PoKnowledge	0	POPCRATE501	849.955	628.803	-163.999	437	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	50	0	4294967295	0
13	135	PoKnowledge	0	POPCRATE501	843.229	629.505	-158.065	165	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	40	0	4294967295	0
14	17	PoKnowledge	0	POPCRATE501	851.231	622.973	-157.749	298	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	30	0	4294967295	0
15	1	PoKnowledge	0	POPCRATE500	851.279	622.474	-163.999	384	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	80	0	4294967295	0
16	2	PoKnowledge	0	POPCRATE500	849.903	628.722	-159.999	256	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	30	0	4294967295	0
17	3	PoKnowledge	0	POPCRATE500	844.154	630.104	-163.999	256	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	75	0	4294967295	0
18	4	PoKnowledge	0	SHBOOK306	879.287	644.085	-160.249	472	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	100	0	4294967295	0
19	5	PoKnowledge	0	SHBOOK307	913.082	648.334	-146.999	128	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	100	0	4294967295	0
20	6	PoKnowledge	0	SHBOOK306	912.862	636.747	-148.749	167	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	100	0	4294967295	0
21	7	PoKnowledge	0	SHBOOK303	913.278	631.964	-146.103	128	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	100	0	4294967295	0
22	9	PoKnowledge	0	SHBOOK302	912.869	635.378	-148.189	128	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	100	0	4294967295	0
23	10	PoKnowledge	0	SHBOOK301	913.124	630.564	-146.117	128	58	0	0	0	0	0	0	0	0	0	NONE	0	0	0	0	0	0	0	100	0	4294967295	0
