1	1	1	1	1010101	0	4
2	1	2	2	1010102	0	4
3	1	3	3	1010103	0	4
4	1	4	4	1010104	0	4
5	1	5	5	1010105	0	4
6	1	6	11	1020101	0	4
7	1	7	12	1020102	0	4
8	1	8	13	1020103	0	4
9	1	9	14	1020104	0	4
10	1	10	15	1020105	0	4
11	1	11	21	1040101	0	5
12	1	12	22	1040102	0	5
13	1	13	23	1040103	0	5
14	1	14	24	1040104	0	5
15	1	15	25	1040105	0	5
16	1	16	31	1120101	0	5
17	1	17	32	1120102	0	5
18	1	18	33	1120103	0	5
19	1	19	34	1120104	0	5
20	1	20	35	1120105	0	5
21	2	1	6	1010201	0	4
22	2	2	7	1010202	0	4
23	2	6	16	1020201	0	4
24	2	7	17	1020202	0	4
25	2	11	26	1040201	0	5
26	2	12	27	1040202	0	5
27	2	16	36	1120201	0	5
28	2	17	37	1120202	0	5
29	3	1	1	2010101	0	4
30	3	2	2	2010102	0	4
31	3	3	3	2010103	0	4
32	3	4	4	2010104	0	4
33	3	5	5	2010105	0	4
34	3	6	11	2020101	0	4
35	3	7	12	2020102	0	4
36	3	8	13	2020103	0	4
37	3	9	14	2020104	0	4
38	3	10	15	2020105	0	4
39	3	11	21	2040101	0	5
40	3	12	22	2040102	0	5
41	3	13	23	2040103	0	5
42	3	14	24	2040104	0	5
43	3	15	25	2040105	0	5
44	3	16	31	2120101	0	5
45	3	17	32	2120102	0	5
46	3	18	33	2120103	0	5
47	3	19	34	2120104	0	5
48	3	20	35	2120105	0	5
49	4	1	6	2010201	0	4
50	4	2	7	2010202	0	4
51	4	6	16	2020201	0	4
52	4	7	17	2020202	0	4
53	4	11	26	2040201	0	5
54	4	12	27	2040202	0	5
55	4	16	36	2120201	0	5
56	4	17	37	2120202	0	5
57	5	1	1	3010101	0	4
58	5	2	2	3010102	0	4
59	5	3	3	3010103	0	4
60	5	4	4	3010104	0	4
61	5	5	5	3010105	0	4
62	5	6	11	3020101	0	4
63	5	7	12	3020102	0	4
64	5	8	13	3020103	0	4
65	5	9	14	3020104	0	4
66	5	10	15	3020105	0	4
67	5	16	31	3120101	0	5
68	5	17	32	3120102	0	5
69	5	18	33	3120103	0	5
70	5	19	34	3120104	0	5
71	5	20	35	3120105	0	5
72	6	1	6	3010201	0	4
73	6	2	7	3010202	0	4
74	6	6	16	3020201	0	4
75	6	7	17	3020202	0	4
76	6	16	36	3120201	0	5
77	6	17	37	3120202	0	5
78	7	1	1	4010101	0	4
79	7	2	2	4010102	0	4
80	7	3	3	4010103	0	4
81	7	4	4	4010104	0	4
82	7	5	5	4010105	0	4
83	7	6	11	4020101	0	4
84	7	7	12	4020102	0	4
85	7	8	13	4020103	0	4
86	7	9	14	4020104	0	4
87	7	10	15	4020105	0	4
88	7	11	21	4040101	0	5
89	7	12	22	4040102	0	5
90	7	13	23	4040103	0	5
91	7	14	24	4040104	0	5
92	7	15	25	4040105	0	5
93	7	16	31	4120101	0	5
