0	Unknown AA -1	-1	65535	65535	127	131071	0	1	0	0	49999	1
1	Innate Strength	-1	65535	65535	127	131071	0	1	0	0	2	1
2	Innate Stamina	-1	65535	65535	127	131071	0	1	0	0	7	1
3	Innate Agility	-1	65535	65535	127	131071	0	1	0	0	12	1
4	Innate Dexterity	-1	65535	65535	127	131071	0	1	0	0	17	1
5	Innate Intelligence	-1	65535	65535	127	131071	0	1	0	0	22	1
6	Innate Wisdom	-1	65535	65535	127	131071	0	1	0	0	27	1
7	Innate Charisma	-1	65535	65535	127	131071	0	1	0	0	32	1
8	Innate Fire Protection	-1	65535	65535	127	131071	0	1	0	0	37	1
9	Innate Cold Protection	-1	65535	65535	127	131071	0	1	0	0	42	1
10	Innate Magic Protection	-1	65535	65535	127	131071	0	1	0	0	47	1
11	Innate Poison Protection	-1	65535	65535	127	131071	0	1	0	0	52	1
12	Innate Disease Protection	-1	65535	65535	127	131071	0	1	0	0	57	1
13	Innate Run Speed	-1	65535	65535	127	131071	0	1	0	0	62	1
15	Innate Metabolism	-1	65535	65535	127	131071	0	1	0	0	68	1
16	Innate Lung Capacity	-1	65535	65535	127	131071	0	1	0	0	71	1
17	First Aid	-1	65535	65535	127	131071	0	1	0	0	74	1
18	Healing Adept	-1	16942	65535	127	131071	0	2	0	0	77	1
19	Healing Gift	-1	16942	65535	127	131071	0	2	0	0	80	1
20	Spell Casting Mastery	-1	15906	65535	127	131071	0	2	0	0	83	1
21	Spell Casting Reinforcement	-1	25150	65535	127	131071	0	2	0	0	86	1
23	Spell Casting Fury	-1	32446	65535	127	131071	0	2	0	0	92	1
25	Spell Casting Subtlety	-1	15360	65535	127	131071	0	2	0	0	98	1
26	Spell Casting Expertise	-1	15504	65535	127	131071	0	2	0	0	101	1
27	Spell Casting Deftness	-1	7184	65535	127	131071	0	2	0	0	104	1
28	Natural Durability	-1	65535	65535	127	131071	0	1	0	0	107	1
29	Natural Healing	-1	49629	65535	127	131071	0	2	0	0	110	1
30	Combat Fury	-1	16596	65535	127	131071	0	2	0	0	113	1
31	Fear Resistance	-1	49629	65535	127	131071	0	2	0	0	116	1
32	Finishing Blow	-1	49629	65535	127	131071	0	2	0	0	119	1
33	Combat Stability	-1	65535	65535	127	131071	0	1	0	0	122	1
34	Combat Agility	-1	65535	65535	127	131071	0	1	0	0	125	1
35	Mass Group Buff	-1	30254	65535	127	131071	0	3	0	0	128	1
36	Divine Resurrection	-1	2	65535	127	131071	0	3	0	0	129	1
37	Innate Invis to Undead	-1	1026	65535	127	131071	0	3	0	0	130	1
38	Celestial Regeneration	-1	2	65535	127	131071	0	3	0	0	131	1
39	Bestow Divine Aura	-1	2	65535	127	131071	0	3	0	0	132	1
41	Purify Soul	-1	2	65535	127	131071	0	3	0	0	136	1
42	Quick Evacuation	-1	2080	65535	127	131071	0	3	0	0	137	1
43	Exodus	-1	2080	65535	127	131071	0	3	0	0	140	1
44	Quick Damage	-1	6176	65535	127	131071	0	3	0	0	141	1
45	Enhanced Root	-1	32	65535	127	131071	0	3	0	0	144	1
46	Dire Charm	-1	8192	65535	127	131071	0	3	0	0	145	1
47	Cannibalization	-1	512	65535	127	131071	0	3	0	0	146	1
48	Quick Buff	-1	25134	65535	127	131071	0	2	0	0	147	1
49	Alchemy Mastery	6	512	65535	127	131071	0	1	0	0	150	1
50	Rabid Bear	-1	512	65535	127	131071	0	3	0	0	153	1
52	Improved Familiar	-1	2048	65535	127	131071	0	3	0	0	155	1
53	Nexus Gate	-1	2048	65535	127	131071	0	3	0	0	156	1
55	Permanent Illusion	-1	8192	65535	127	131071	0	3	0	0	158	1
56	Jewel Craft Mastery	6	8192	65535	127	131071	0	1	0	0	159	1
57	Gather Mana	-1	8192	65535	127	131071	0	3	0	0	162	1
58	Mend Companion	-1	21504	65535	127	131071	0	3	0	0	163	1
60	Frenzied Burnout	-1	4096	65535	127	131071	0	3	0	0	167	1
61	Elemental Form: Fire	-1	4096	65535	127	131071	0	3	0	0	168	1
62	Elemental Form: Water	-1	4096	65535	127	131071	0	3	0	0	171	1
63	Elemental Form: Earth	-1	4096	65535	127	131071	0	3	0	0	174	1
64	Elemental Form: Air	-1	4096	65535	127	131071	0	3	0	0	177	1
67	Elemental Pact	-1	4096	65535	127	131071	0	3	0	0	182	1
68	Life Burn	-1	1024	65535	127	131071	0	3	0	0	183	1
69	Dead Mesmerization	-1	1024	65535	127	131071	0	3	0	0	184	1
70	Fear Storm	-1	1024	65535	127	131071	0	3	0	0	185	1
71	Flesh to Bone	-1	1024	65535	127	131071	0	3	0	0	186	1
72	Call to Corpse	-1	1024	65535	127	131071	0	3	0	0	187	1
73	Divine Stun	-1	4	65535	127	131071	0	3	0	0	188	1
75	Slay Undead	-1	4	65535	127	131071	0	3	0	0	190	1
76	Act of Valor	-1	4	65535	127	131071	0	3	0	0	193	1
77	Holy Steed	-1	4	65535	127	131071	0	3	0	0	194	1
78	Fearless	-1	20	65535	127	131071	0	3	0	0	195	1
79	2 Hand Bash	-1	20	65535	127	131071	0	3	0	0	196	1
80	Innate Camouflage	-1	40	65535	127	131071	0	3	0	0	197	1
81	Ambidexterity	-1	16841	65535	127	131071	0	3	0	0	198	1
82	Archery Mastery	-1	8	65535	127	131071	0	3	0	0	199	1
84	Endless Quiver	-1	8	65535	127	131071	0	3	0	0	205	1
85	Unholy Steed	-1	16	65535	127	131071	0	3	0	0	206	1
87	Leech Touch	-1	16	65535	127	131071	0	3	0	0	208	1
89	Soul Abrasion	-1	16	65535	127	131071	0	3	0	0	210	1
90	Instrument Mastery	-1	128	65535	127	131071	0	3	0	0	213	1
94	Jam Fest	-1	128	65535	127	131071	0	3	0	0	225	1
97	Critical Mend	-1	64	65535	127	131071	0	3	0	0	230	1
98	Purify Body	-1	64	65535	127	131071	0	3	0	0	233	1
100	Rapid Feign	-1	64	65535	127	131071	0	3	0	0	237	1
101	Return Kick	-1	64	65535	127	131071	0	3	0	0	240	1
102	Escape	-1	256	65535	127	131071	0	3	0	0	243	1
103	Poison Mastery	6	256	65535	127	131071	0	1	0	0	244	1
104	Double Riposte	-1	49501	65535	127	131071	0	2	0	0	247	1
107	Purge Poison	-1	256	65535	127	131071	0	3	0	0	254	1
108	Flurry	-1	32769	65535	127	131071	0	3	0	0	255	1
109	Rampage	-1	32769	65535	127	131071	0	3	0	0	258	1
110	Area Taunt	-1	1	65535	127	131071	0	3	0	0	259	1
111	War Cry	-1	1	65535	127	131071	0	3	0	0	260	1
112	Bandage Wound	-1	32769	65535	127	131071	0	3	0	0	263	1
114	Spell Casting Fury Mastery	-1	2048	65535	127	131071	0	3	0	0	267	1
116	Dragon Punch	-1	64	65535	127	131071	0	3	0	0	273	1
117	Strong Root	-1	2048	65535	127	131071	0	3	0	0	274	1
118	Singing Mastery	-1	128	65535	127	131071	0	3	0	0	275	1
119	Body and Mind Rejuvenation	-1	16540	65535	127	131071	0	3	0	0	278	1
120	Physical Enhancement	-1	49629	65535	127	131071	0	3	0	0	279	1
121	Adv. Trap Negotiation	-1	384	65535	127	131071	0	3	0	0	280	1
122	Acrobatics	-1	448	65535	127	131071	0	3	0	0	283	1
123	Scribble Notes	-1	128	65535	127	131071	0	3	0	0	286	1
124	Chaotic Stab	-1	256	65535	127	131071	0	3	0	0	287	1
125	Pet Discipline	-1	22032	65535	127	131071	0	3	0	0	288	1
126	Hobble of Spirits	-1	16384	65535	127	131071	0	3	0	0	289	1
127	Frenzy of Spirit	-1	16384	65535	127	131071	0	3	0	0	290	1
128	Paragon of Spirit	-1	16384	65535	127	131071	0	3	0	0	291	1
129	Chains of Purity	-1	4	65535	127	131071	0	3	0	0	10348	1
130	Resplendent Glory	-1	1	65535	127	131071	0	3	0	0	8300	1
131	Rage of Rallos Zek	-1	1	65535	127	131071	0	3	0	0	8303	1
132	Enhanced Area Taunt	-1	1	65535	127	131071	0	3	0	0	8312	1
133	Decapitation	-1	32768	65535	127	131071	0	3	0	0	14200	1
134	Hastened Berserking Disciplines	-1	32768	65535	127	131071	0	3	0	0	14203	1
135	Quiet Miracle	-1	2	65535	127	131071	0	3	0	0	14206	1
136	Repel the Wicked	-1	2	65535	127	131071	0	3	0	0	14207	1
137	Beacon of Life	-1	2	65535	127	131071	0	3	0	0	14208	1
138	Blessed Chains	-1	2	65535	127	131071	0	3	0	0	14209	1
139	Hastened Focused Celestial Regeneration	-1	2	65535	127	131071	0	3	0	0	14213	1
140	Quickened Spirit Calling	-1	512	65535	127	131071	0	3	0	0	14225	1
141	New Tanaan Crafting Mastery	6	65535	65535	127	131071	0	1	0	0	412	1
142	Planar Power	-1	65535	65535	127	131071	0	1	0	0	418	1
143	Planar Durability	-1	1	65535	127	131071	0	3	0	0	423	1
144	Innate Enlightenment	-1	15360	65535	127	131071	0	2	0	0	426	1
146	Unknown AA 8001	9	65535	65535	127	131071	0	1	0	0	8000	0
147	Spiritual Rebuke	-1	512	65535	127	131071	0	3	0	0	14231	1
148	Pathosis	-1	512	65535	127	131071	0	3	0	0	14232	1
149	Preincarnation	-1	544	65535	127	131071	0	3	0	0	14233	1
150	Mastery of the Past	-1	15504	65535	127	131071	0	2	0	0	446	1
151	Spiritual Blessing	-1	512	65535	127	131071	0	3	0	0	14234	1
152	Communion of the Cheetah	-1	512	65535	127	131071	0	3	0	0	14237	1
